metric,value
total_vehicles,13
total_couriers,5
total_distance_m,4964880.929999997
total_travel_time_s,253724.44248729222
total_monetary_cost_usd,0.0
average_distance_per_vehicle_m,381913.91769230744
average_travel_time_per_vehicle_s,19517.264806714786
delivery_requests_total,100
delivery_requests_assigned,77
delivery_requests_delivered,75
delivery_assignment_rate,0.77
delivery_completion_rate,0.974025974025974
average_delivery_time_s,13544.702105648143
