courier_id,total_distance_m,total_travel_time_s,total_monetary_cost_usd,total_edges_traversed,deliveries_count,avg_delivery_time_s
courier2,116415.20999999999,2628.1890363839584,0.0,431,3,876.063012127984
courier4,454974.6099999995,16930.202542278766,0.0,1400,8,6780.028276661595
courier1,836665.150000001,45642.71565532673,0.0,1962,14,11122.335104330274
courier5,1840566.3399999961,89250.20679290534,0.0,4464,26,14466.686815652783
courier3,1704274.8100000038,105181.69859193527,0.0,4121,24,18481.988447158375
